english_name;sc_name
Eurasian Sparrowhawk;Accipiter nisus
Eastern Buzzard;Buteo japonicus
Common Kestrel;Falco tinnunculus
Oriental Turtle Dove;Streptopelia orientalis
Urban Rock Dove;Columba livia
Japanese Pygmy Woodpecker;Dendrocopos kizuki
Great Spotted Woodpecker;Dendrocopos major
Grey headed Woodpecker;Picus canus
White Wagtail;Motacilla alba
Daurian redstart;Phoenicurus auroreus
Dusky Trush;Turdus eunomus
Naumann's Thrush;Turdus naumanni
Marsh Tit;Poecile palustris
Coal Tit;Periparus ater
Varied Tit;Sittiparus varius
Eastern Great Tit;Parus minor
Long tailed Tit;Aegithalos caudatus
Vinous-throated Parrotbill;Sinosuthera webbiana
Eurasian Nuthatch;Sitta europaea
Bull-headed Shrike;Lanius bucephalus
Brown-eared Bulbul;Hypsipetes amaurotis
Eurasian Magpie;Pica pica
Jay;Garrulus glandarius
Large-billed Crow;Corvus macrorhynchos
Carrion Crow;Corvus corone
White-cheeked Starling;Spodiopsar cineraceus
Eurasian Tree Sparrow;Passer montanus
Brambling;Fringilla montifringilla
Grey-capped Greenfinch;Chloris sinica
Hawfinch;Coccothraustes coccothraustes
